dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/5T/medium,TW3Cast,52.71171343537415,52.71171343537415,4.64162215667517,0.4761204523859904,0.3936610927358563,0.6083081719015732,5.9825873648927415,7.260283288920216,0.3819976680867253,0.2442175834509749,0.2034351895153375,Web/CloudOps,7
bizitobs_l2c/5T/short,TW3Cast,12.369654482886904,12.369654482886904,1.8253772553943453,0.1853709750002557,0.0818918004415235,0.1670505886986142,1.3174135421823792,3.5170519590826212,0.1207898002268724,0.0626908435197729,0.050062234257456,Web/CloudOps,7
bizitobs_l2c/H/short,TW3Cast,45.361940414186506,45.361940414186506,4.0271727546813,0.3988694499799424,0.3641582095651604,0.5764017256479415,2.613715055141683,6.735127349515116,0.3630406130981161,0.2170749252449969,0.170195679609942,Web/CloudOps,7
bizitobs_service/10S/medium,TW3Cast,4222.303174603175,4222.303174603175,25.312976190476192,0.9383460440078488,0.0607006351531498,0.0536282590835813,9.402625131789714,64.9792518778354,0.0489049162064598,0.0190511423840139,0.0166383106212134,Web/CloudOps,2
bizitobs_service/10S/short,TW3Cast,1546.0449735449736,1546.0449735449736,16.883968253968256,0.6504930827807773,0.0504179971684854,0.0413010563926091,5.032678416313236,39.31977840152426,0.0291293488615689,0.0125081834494375,0.0096713026006229,Web/CloudOps,2
car_parts/M/short,TW3Cast,1.3508750983438786,1.3508750983438786,0.4562940358070322,0.8339763924410061,0.8155080034744943,1.8879285224234423,15.015845175564584,1.1622715252228624,2.7870078911603966,1.0941462910224693,0.9402537427034604,Sales,1
covid_deaths/D/short,TW3Cast,209033.9448621554,209033.9448621554,73.3314223057644,29.55095460291492,0.0782505565265307,0.3506350715656328,528.1450554999099,457.20230189944954,0.1720245910919447,0.0275913045142851,0.0238354192975982,Healthcare,1
electricity/D/short,TW3Cast,1154222752.6296215,1154222752.6296215,4043.693261261262,1.3444471864523193,0.3092233595418612,0.0899281346776463,10.65685988258001,33973.85395608837,0.5583032479878345,0.0664513094259681,0.052044355916256,Energy,1
electricity/H/long,TW3Cast,6465147.827123123,6465147.827123123,252.13836636636637,1.1190595247494814,0.2790804844845251,0.1361146067942943,9.556141949213856,2542.6654965062007,1.0028265197684083,0.0994432971189918,0.0788362560884621,Energy,1
electricity/W/short,TW3Cast,36592017334.1982,36592017334.1982,24833.793693693693,1.3053214319755178,0.1257714880310389,0.0868597623464223,10.695890543522864,191290.40052809287,0.4364615679661374,0.0566625220302432,0.0442155863987309,Energy,1
ett1/15T/long,TW3Cast,8.444056919642858,8.444056919642858,1.5393663194444445,0.9898472718965988,0.7765665228185451,0.378525894407242,6.7292138927697955,2.905865950047052,0.5538609232325075,0.2934047425232129,0.2278692690032132,Energy,7
ett1/15T/medium,TW3Cast,8.911522197420634,8.911522197420634,1.541460193452381,0.9688280351627656,0.7480165485397324,0.3730782257564484,7.014784992983557,2.9852172780922723,0.5689853648159672,0.2938038369794281,0.2257118681905493,Energy,7
ett1/15T/short,TW3Cast,4.820989699590774,4.820989699590774,1.075672403971354,0.675758765351539,0.4753222394514964,0.2354422069731213,4.464449898998243,2.195675226346277,0.4150740131047439,0.203346859382929,0.1572263892552863,Energy,7
ett1/D/short,TW3Cast,39129.45714285714,39129.45714285714,131.8703621031746,1.6402694298221336,1.1865955171130953,0.4778318374875992,10.616873662350558,197.81167089647957,0.5195589150897624,0.3463618802485878,0.2674588660369354,Energy,7
ett1/H/long,TW3Cast,144.4055224867725,144.4055224867725,6.858814380787037,1.3016892433691898,4170294784110.263,0.4553841081245866,8.819505089968183,12.016884891134328,0.5754625906707042,0.3284537655352889,0.257320890826948,Energy,7
ett1/H/short,TW3Cast,95.38958333333332,95.38958333333332,4.795990862165179,0.787321223795293,0.4728477841331845,0.2515856606619698,5.389365701445898,9.766759100814012,0.4558546047014521,0.2238485147485483,0.1707197904296443,Energy,7
ett1/W/short,TW3Cast,1045373.1428571428,1045373.1428571428,831.3955078125,1.497461147081978,0.6689448356628418,0.5379095418112618,8.32655468655079,1022.4349088607756,0.4068512534554114,0.3308321160978413,0.2457933330325451,Energy,7
ett2/15T/short,TW3Cast,6.930428059895833,6.930428059895833,1.6246439615885415,0.7076776133137381,0.1017696164341686,0.1211730502900623,4.888293087526475,2.6325706182163153,0.1249774925005701,0.0771276284558322,0.0608558978293342,Energy,7
ett2/H/long,TW3Cast,215.7874007936508,215.7874007936508,8.99795593584656,0.9874498723855388,0.1712026057504344,0.1668997951285549,7.003916574254284,14.689703904219812,0.2011641889371799,0.1232200812030725,0.0997779827786803,Energy,7
ett2/H/short,TW3Cast,107.56802455357143,107.56802455357143,6.31697765531994,0.7254638019748312,0.1173002180780947,0.1085268565586635,5.007551799601931,10.37150059314328,0.1315394852190222,0.0801168530492289,0.0637045923126786,Energy,7
hierarchical_sales/D/short,TW3Cast,28.445375155022735,28.445375155022735,2.2880437099524595,0.739023252662512,0.6297484774231457,1.0689994089758164,6.799268516315649,5.333420586736315,1.6362343719406898,0.7019464716578524,0.5677008899940723,Sales,1
hospital/M/short,TW3Cast,2362.6501521077794,2362.6501521077794,17.059372962842243,0.7489170549901987,0.1896916156952819,0.1712637465707844,5.180282880211107,48.60709981173305,0.1764550595739056,0.0619294852832421,0.0491341244571107,Healthcare,1
jena_weather/10T/short,TW3Cast,820.8751984126984,820.8751984126984,5.3874488467261905,0.2530174090453432,0.3407933014499817,0.537276107545883,2.182984504552705,28.65091967830524,0.1779581200127933,0.0334628095430546,0.0277080216942156,Nature,21
jena_weather/D/short,TW3Cast,379.6871775793651,379.6871775793651,9.46194118923611,0.9691052791303292,0.5750693177612098,0.4444883800688244,6.481911003336141,19.485563311830763,0.11733493881373,0.0569763507849966,0.0450284343160161,Nature,21
jena_weather/H/long,TW3Cast,1452.7843915343915,1452.7843915343915,11.928476355820106,0.8818865316995051,2.795099403203062,0.6480792979083995,8.063539214995675,38.11540884648086,0.2294969902957583,0.0718226435272144,0.0588798433286155,Nature,21
jena_weather/H/medium,TW3Cast,1125.854761904762,1125.854761904762,9.77641369047619,0.7741931253703012,2.170086610592888,0.6706547328404018,5.931836577178368,33.553759281260305,0.2053214039050755,0.0598236092492458,0.0477810804710266,Nature,21
jena_weather/H/short,TW3Cast,1082.8020050125313,1082.8020050125313,8.278414950135756,0.5109074247271881,1.4341074884362284,0.6044002013497285,4.226060609259558,32.905956983691134,0.2017113979295952,0.0507461507064133,0.0406488626461467,Nature,21
kdd_cup_2018/D/short,TW3Cast,2925.8650176208525,2925.8650176208525,21.188983642529426,1.1982695405125063,0.5101507889383436,0.4690089621151672,9.22759084326899,54.09126563153105,1.2117017486651964,0.4746557181151396,0.3766938580785408,Nature,1
kdd_cup_2018/H/long,TW3Cast,3506.6226234906053,3506.6226234906053,18.41541677163832,0.7703363611737863,0.683221014386592,0.4584748924894979,6.4528882500488045,59.21674276326422,1.389464073829733,0.4321000922169347,0.3483304955252137,Nature,1
electricity/H/short,TW3Cast,1527162.0713513514,1527162.0713513514,155.08897522522523,0.8532621756505053,0.1722577303145575,0.1169368726713163,9.866765153672484,1235.7839905709054,0.583378295677844,0.0732130718116177,0.0605763516767689,Energy,1
kdd_cup_2018/H/medium,TW3Cast,4687.1928141715625,4687.1928141715625,21.00612348777716,0.8474330347428256,0.7643876559640477,0.4640623902993949,7.665758870098704,68.46307628328984,1.433056179016824,0.4396962084611569,0.3572170372113207,Nature,1
kdd_cup_2018/H/short,TW3Cast,4374.976250367497,4374.976250367497,18.353134269701133,0.714758457056952,0.5446602320068069,0.407717535914264,6.014787169596181,66.14360324602445,1.3845054115594215,0.3841643404421749,0.3093295167069658,Nature,1
loop_seattle/5T/long,TW3Cast,82.12468409586057,82.12468409586057,4.944551370255705,0.7839854423444389,0.148192107457932,0.1122318837074303,6.400201608645952,9.062267050570766,0.1602227347907543,0.0874206794431029,0.069468965482221,Transport,1
electricity/15T/short,TW3Cast,116313.7965427928,116313.7965427928,44.427167264921174,0.8626078568962142,0.1421344440533659,0.1491574419726122,9.595157809444432,341.04808538209505,0.6722730016975113,0.087574703903246,0.0732199417920064,Energy,1
loop_seattle/D/short,TW3Cast,17.223945433436533,17.223945433436533,2.811307162667698,0.8522342440191767,0.0522800599089347,0.0518657105625967,6.843834757031999,4.15017414495302,0.0741691625638725,0.0502418189411278,0.0409776503983694,Transport,1
loop_seattle/H/long,TW3Cast,56.90166838665291,56.90166838665291,4.047389114637083,0.8474318934892845,0.1189946193321078,0.093818522303384,6.628471923327389,7.5433194541032735,0.1348092177136703,0.0723322621621507,0.0578167971717423,Transport,1
loop_seattle/H/medium,TW3Cast,64.1906927244582,64.1906927244582,4.159390721749226,0.8542771749785212,0.1114962015850748,0.0943371531641028,11.184123189096262,8.011909430620031,0.1416095863597087,0.0735167571121352,0.0620634302947885,Transport,1
loop_seattle/5T/medium,TW3Cast,65.49975288635191,65.49975288635191,4.484260845991357,0.7150608321101526,0.1371484773397691,0.1027416033198589,5.539083632765627,8.09319176137276,0.1439945078144412,0.0797842127641086,0.0631646498337329,Transport,1
m4_hourly/H/short,TW3Cast,547821.4492753623,547821.4492753623,160.48897946859904,0.6473058440684045,0.0835940227416402,0.0764185280423617,5.175933298998995,740.149612764448,0.1010467592554649,0.0219102881253277,0.0183068632992808,Econ/Fin,1
m4_monthly/M/short,TW3Cast,1813832.4171851852,1813832.4171851852,545.706269386574,0.9010018778954832,0.1553598019635235,0.1286014835569593,7.361312792696649,1346.785958192758,0.2799083579244668,0.1134164971381597,0.0905412513080155,Econ/Fin,1
loop_seattle/H/short,TW3Cast,55.18843057479224,55.18843057479224,3.909852953906632,0.7952543764460718,0.106680987899239,0.0899678359213751,6.8689232832333555,7.428891611458081,0.131498936062493,0.0692083732661441,0.0559164395090018,Transport,1
m4_weekly/W/short,TW3Cast,231925.90700664237,231925.90700664237,243.91552389115063,1.8697724784547871,0.0592315654211083,0.0590577584302014,14.111825708725366,481.5868634074671,0.0877376631979126,0.0444376284113823,0.0353167608376767,Econ/Fin,1
m4_yearly/A/short,TW3Cast,3543569.862279098,3543569.862279098,867.3863370912045,3.2246213956007237,0.161330612429248,0.1443434992813717,28.07013540356743,1882.4372133697043,0.3018575329073999,0.1390894197864093,0.1122119513956354,Econ/Fin,1
m_dense/D/short,TW3Cast,7305.208888888889,7305.208888888889,40.22485821759259,0.6103822726048507,0.1132946198211059,0.0882373329445167,6.513444129411229,85.47051473396478,0.1479621037497497,0.0696351796106039,0.0575999435497423,Transport,1
m_dense/H/long,TW3Cast,33626.20444444445,33626.20444444445,77.3367901234568,0.6708340259086679,0.2641698465896777,0.1866262176890432,6.957341925256284,183.37449234952075,0.3174483539361905,0.1338814161601367,0.1107161942374796,Transport,1
m_dense/H/medium,TW3Cast,35689.90666666667,35689.90666666667,77.64447916666667,0.6734923606675179,0.2645800488641907,0.1865829298231336,7.541384137605158,188.91772459636144,0.3286929735791249,0.1350915844123268,0.1119880681963952,Transport,1
m_dense/H/short,TW3Cast,42475.37777777778,42475.37777777778,85.13694444444444,0.7575886178176963,0.2795015030114706,0.2033528645833333,8.073503187929644,206.09555496850916,0.365562158793506,0.1510117246776592,0.1244059345628484,Transport,1
saugeen/D/short,TW3Cast,1261.5417708333334,1261.5417708333334,13.200292154947917,2.9329697555213214,0.2758220672607422,0.3288771057128906,28.93645850078248,35.51818929553326,1.1504426140385553,0.4275606080718962,0.3529876261786411,Nature,1
saugeen/M/short,TW3Cast,388.1999860491072,388.1999860491072,12.227294921875,0.7164959220912712,0.3519024167742048,0.3523795491173154,4.341793098944011,19.702791326335134,0.5915369034369568,0.3671000750958943,0.2859746064513,Nature,1
saugeen/W/short,TW3Cast,925.52265625,925.52265625,14.285140991210938,1.1588301254361049,0.3505960702896118,0.371764588356018,7.284452917266958,30.422403853903457,0.918325557329413,0.4312088592762475,0.3372865731995859,Nature,1
m4_quarterly/Q/short,TW3Cast,1676916.496,1676916.496,531.7727239583334,1.092781632850078,0.1133791700998942,0.0961826995213826,8.329879667147056,1294.9581058860554,0.2167531834540751,0.0890093897772442,0.0710093041237292,Econ/Fin,1
solar/10T/long,TW3Cast,19.51597752876622,19.51597752876622,1.7726081049935372,0.7747907610142517,3.746473936770794,1.4366403387828706,3.8255312569925137,4.417689161628082,0.9548127409919756,0.3831208447471933,0.2844115346247817,Energy,1
