dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
sz_taxi/H/short,PatchFM,7.103861458281166,7.103861458281166,1.8420948941483457,0.5610372956159778,1.2247783465263171,0.29566683182684567,4.09600636921746,2.6653070101361993,0.24828979530465373,0.1716025067507958,0.1357062126249934,Transport,1
restaurant/D/short,PatchFM,148.01409781568134,148.01409781568134,7.366166758695392,0.703379251894509,0.7033016795903636,0.4019858533150552,4.814841059230017,12.166104463454246,0.5599123159889817,0.3390080614720589,0.2649515218429696,Sales,1
bizitobs_application/10S/short,PatchFM,1173113.8844444444,1173113.8844444444,502.49163194444446,1.4208758757289768,0.02079236772325304,0.021035760629803748,9.188288501398974,1083.1038197903488,0.041770985039618166,0.019379093727642432,0.014541519241686111,Web/CloudOps,2
bizitobs_application/10S/medium,PatchFM,5033790.293333333,5033790.293333333,1168.5509375,2.895646623305317,0.040952021280924476,0.041445272797797174,34.24583328491301,2243.6109942085177,0.08810000040085844,0.04588555606471839,0.038590901652503354,Web/CloudOps,2
bizitobs_application/10S/long,PatchFM,8820255.857777778,8820255.857777778,1695.4204166666666,4.116068552366298,0.05760618421766493,0.05900609813563485,82.43894386779134,2969.8915565686534,0.11453684634103711,0.06538558868175232,0.05862088484152401,Web/CloudOps,2
temperature_rain/D/short,PatchFM,187.73795966894204,187.73795966894204,5.7974971071249035,1.3516285303738054,17.432682303726175,1.5240064195338991,19.076913999993216,13.701750241080227,1.613058266399748,0.6825186905712547,0.5509619303670388,Nature,1
solar/D/short,PatchFM,114917.91192214112,114917.91192214112,263.0600146365572,1.026500842472496,0.9604223692214112,0.45376515044509963,5.554723730268577,338.9954452822945,0.4897329766185225,0.38003213845540684,0.2759504265549449,Energy,1
hierarchical_sales/D/short,PatchFM,29.092090933753617,29.092090933753617,2.30492915279267,0.743324157480062,0.6338369739359535,1.0562493707490503,6.9247767687067485,5.393708458357164,1.6547300233060633,0.7071267385262298,0.5733378446985715,Sales,1
ett1/D/short,PatchFM,42827.276190476194,42827.276190476194,138.51641865079364,1.6761558983915998,1.1749131944444444,0.4787772743542551,10.56445241107935,206.9475203776943,0.5435545267913963,0.36381796822285717,0.2771590773440894,Energy,7
jena_weather/10T/short,PatchFM,927.1180874181172,927.1180874181172,6.18559683542403,0.3065180690591591,0.3488559156993979,0.5683493680846522,2.326448520669558,30.448613883362853,0.1891240567892469,0.038420309432125724,0.03084263487737561,Nature,21
jena_weather/10T/medium,PatchFM,1756.7340263685967,1756.7340263685967,10.76691723668042,0.6522387714293197,0.7826547433751291,0.6736868492347337,13.772941927872363,41.91341105623111,0.2572218843479957,0.06607638630323608,0.05708207902595438,Nature,21
jena_weather/10T/long,PatchFM,2003.0813254381615,2003.0813254381615,11.95865375175678,0.7479350792817229,0.9557406135734128,0.6782462467262446,17.327179630999403,44.75579655685017,0.2738683926075705,0.07317705264353844,0.06368730836433352,Nature,21
solar/W/short,PatchFM,1460604.4160583941,1460604.4160583941,965.3348041172445,1.0528584655653321,0.21542219523965878,0.1894289919038286,6.861983258890307,1208.554680624089,0.24669621418708765,0.19704895890666854,0.14598156384361566,Energy,1
solar/H/short,PatchFM,741.9854399771098,741.9854399771098,11.668051396400587,0.900806691489328,4.329142225203966,1.4054207928128437,3.9648733508462026,27.239409684813467,1.0040537103202345,0.43008825933899564,0.3196094317718713,Energy,1
solar/H/medium,PatchFM,897.6403664841849,897.6403664841849,13.926071189267791,1.0613788888323168,2.792645728097198,1.4619161470271624,6.85034735383754,29.960646963711998,1.0792524321251464,0.5016495878466528,0.3955237559584219,Energy,1
solar/H/long,PatchFM,1104.1074918897,1104.1074918897,15.96111443760138,1.2159014280723632,2.2461558775720865,1.4963768926827885,14.332756746034448,33.22811297515554,1.1520794231860685,0.5534010170372171,0.4592014018639197,Energy,1
us_births/D/short,PatchFM,182619.69333333333,182619.69333333333,266.965,0.3930723209994503,0.025660009384155275,0.02533608000287853,3.992781852927955,427.34025475414006,0.04005968121704528,0.025025802453975076,0.02056730119104566,Healthcare,1
bitbrains_fast_storage/H/short,PatchFM,2801905.192362053,2801905.192362053,292.3823547488794,1.0692277800857104,3.492449762198567,0.5552917065290459,19.4273055677912,1673.8892413663614,4.7711280158272595,0.8333846765973705,0.6248415744775166,Web/CloudOps,2
loop_seattle/H/short,PatchFM,59.174089068443394,59.174089068443394,4.160611025067597,0.8452977314352628,0.11177873458642676,0.09658640580248032,7.138644746430749,7.692469633898036,0.13616453567101638,0.07364704643610819,0.0594067808990884,Transport,1
loop_seattle/H/medium,PatchFM,67.84570356591445,67.84570356591445,4.671789594872694,0.9554836511032593,0.13420626374098046,0.10716581837063555,11.2689477614044,8.236850342571149,0.14558540898445194,0.08257335881697467,0.0680730740211615,Transport,1
loop_seattle/H/long,PatchFM,66.14388153527584,66.14388153527584,4.497211648673998,0.9315106850618482,0.1508057982395882,0.10527430742644515,13.455137522881117,8.132888880052146,0.14534558894195931,0.08037117994768066,0.06753424652517276,Transport,1
loop_seattle/D/short,PatchFM,19.671981843017328,19.671981843017328,3.131086515223894,0.9376898772895524,0.059339323772119416,0.05751373955439638,6.449223246052365,4.435310794410841,0.07926492870366078,0.05595669861669367,0.04405593385927385,Transport,1
m4_hourly/H/short,PatchFM,2003637.8541408277,2003637.8541408277,244.52736205947187,0.7853997233830518,0.08754016725337448,0.08124808545512757,6.641683061241459,1415.4991537054439,0.19324689881071166,0.03338338583153282,0.02547362052265685,Econ/Fin,1
bitbrains_fast_storage/5T/short,PatchFM,1668770.6231641746,1668770.6231641746,158.13959626934732,0.6891181561994971,2.1722653463813764,0.59702479371223,14.37808219563655,1291.8090505814605,4.055960919939342,0.496519220139193,0.39054975159539373,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,PatchFM,3018505.3119885637,3018505.3119885637,284.8524442284189,1.0548464199522452,4.668220994013842,0.6914185068907546,30.37016012858459,1737.384618323923,5.278654252107014,0.8654603880400402,0.7128461724940943,Web/CloudOps,2
bitbrains_fast_storage/5T/long,PatchFM,3338889.447343826,3338889.447343826,322.51809906814754,0.9505239513923165,3.72263811785945,0.7187120445636569,27.183473948861092,1827.2628293006526,4.828910073181093,0.8523190382904371,0.7328791396605318,Web/CloudOps,2
m4_yearly/A/short,PatchFM,3564182.3224696033,3564182.3224696033,884.0937221010481,3.306417921192888,0.16403648522320752,0.1465587592044468,30.272563235448107,1887.904214325929,0.30273419032241106,0.14176852570083887,0.11487347526789343,Econ/Fin,1
bitbrains_rnd/H/short,PatchFM,2696034.3028902397,2696034.3028902397,213.90262084261119,5.879187507863083,3.25908458665397,0.5582692610261569,203.93585401126285,1641.960505886253,7.186022677210845,0.9361425433678005,0.7964598645029889,Web/CloudOps,2
car_parts/M/short,PatchFM,1.4443869286361437,1.4443869286361437,0.4752104704291662,0.8570563297519002,0.8356623626775168,1.8964245747292685,18.6002869051489,1.2018264968938501,2.881856655661042,1.139505960790167,1.0051571776917305,Sales,1
us_births/W/short,PatchFM,2243076.285714286,2243076.285714286,1158.313267299107,1.0532566181387963,0.015662018741880144,0.01563607600596861,6.212442022116956,1497.6903170262822,0.020330999198467925,0.01572398902584322,0.012317387772730287,Healthcare,1
saugeen/W/short,PatchFM,1000.17890625,1000.17890625,14.881489562988282,1.2071526372482215,0.37311863899230957,0.3935369811116149,9.437963571051457,31.625605231362766,0.954645191400442,0.4492101367942883,0.3565018350032065,Nature,1
electricity/15T/short,PatchFM,127009.60134893675,127009.60134893675,50.04830357147767,0.9380699343668948,0.16329312876394003,0.15489675624882995,10.728845871210583,356.384064386915,0.7025032495722515,0.09865507301799682,0.08212622751359464,Energy,1
electricity/15T/medium,PatchFM,311038.0740168611,311038.0740168611,59.16574412907781,0.9101239603439739,0.15281835487279694,0.1373714249325421,11.101818459665354,557.7078751612363,0.9609868407616282,0.10194853625740094,0.08590045565052817,Energy,1
electricity/15T/long,PatchFM,386058.65225546056,386058.65225546056,65.54287499560107,0.9735480351000191,0.16322487478563574,0.1428922332126037,12.76876370086871,621.3361829601271,0.9802340153174053,0.10340192200992057,0.08776015975562586,Energy,1
hospital/M/short,PatchFM,3181.346112254183,3181.346112254183,18.550723848836103,0.7682500882810124,0.19263623331692467,0.1741966559028785,5.324352660194514,56.40342287711077,0.20475752271791256,0.06734343531220727,0.05276976403433746,Healthcare,1
m_dense/H/short,PatchFM,45605.69436631945,45605.69436631945,89.84141696506076,0.796622534699695,0.2880660279775861,0.21555533816316794,9.269145211567967,213.55489778115472,0.37879321283325434,0.15935630290512834,0.13251235039124748,Transport,1
m_dense/H/medium,PatchFM,42306.27611111111,42306.27611111111,92.04836154513889,0.8116154013823687,0.283107644597393,0.2179988774888171,10.449626410105205,205.6848951943509,0.3578657510297477,0.16015252847946415,0.1317606835190969,Transport,1
m_dense/H/long,PatchFM,45329.723703703705,45329.723703703705,99.70942901234568,0.8856927022296591,0.2938268061462816,0.23478155051751512,12.233363553411579,212.9077821586231,0.3685748641029856,0.17261177057695046,0.14264009502353717,Transport,1
ett2/H/short,PatchFM,106.2786859421503,106.2786859421503,6.41303950718471,0.7346172430404747,0.11692696282930783,0.10895616777788811,5.3600669379140635,10.309155442719366,0.13074876945874617,0.08133518101590917,0.06482664883466929,Energy,7
ett2/H/medium,PatchFM,267.2234375,267.2234375,9.948214285714286,1.0692259104434991,0.17542515275247877,0.17191798327204597,17.978824968008375,16.346970285040587,0.22028593693413628,0.13405858495721182,0.1156379247142049,Energy,7
ett2/H/long,PatchFM,287.7650462962963,287.7650462962963,10.277542162698413,1.1123413138681784,0.18290898800374256,0.18209933902702338,26.530244971185216,16.96363894617827,0.23230397918713871,0.1407430297375148,0.12788565214037198,Energy,7
m4_monthly/M/short,PatchFM,1850861.4522054398,1850861.4522054398,556.825302992079,0.9359319325474649,0.15826115900554039,0.13170166092895533,7.823764248277315,1360.4636901459148,0.28275105915873855,0.11572741362212284,0.09277993657841373,Econ/Fin,1
ett1/15T/short,PatchFM,6.339147386096773,6.339147386096773,1.196010026477632,0.746410179367411,0.5635442534964166,0.25355344990439144,5.070464555507225,2.517766348590904,0.47596263576461295,0.22609567600337052,0.17382269123733812,Energy,7
ett1/15T/medium,PatchFM,12.48254642547123,12.48254642547123,1.7752633231026786,1.121101147316103,0.813226281834629,0.42400096341774907,15.604798846148263,3.5330647355336176,0.673405592092827,0.3383669246677645,0.2857744249875917,Energy,7
ett1/15T/long,PatchFM,12.739369613405257,12.739369613405257,1.8577751038566468,1.1666648937895934,0.8917074818367413,0.43904249843469456,18.298434368260118,3.5692253520064066,0.68029784093882,0.35409375073308635,0.30057039838586747,Energy,7
electricity/H/short,PatchFM,1616347.164650076,1616347.164650076,160.50761851886372,0.8804112609312522,0.18119408552903482,0.11604002861838622,10.579870762226417,1271.356427069166,0.6001710258494772,0.0757710583846226,0.06266955126174072,Energy,1
electricity/H/medium,PatchFM,6867381.229676942,6867381.229676942,256.43227861284134,1.090909492861386,0.22580822998205047,0.12713158168269195,15.018036983069727,2620.568875201898,1.0228943811348745,0.10009396792308284,0.08482737939812655,Energy,1
electricity/H/long,PatchFM,10397091.092708709,10397091.092708709,298.2058069632132,1.255372422519981,0.32103032994905256,0.14230241432221039,20.370745089617227,3224.452060848278,1.2717229389020983,0.11761228204743766,0.10193826086036223,Energy,1
ett1/H/short,PatchFM,108.43617335728237,108.43617335728237,5.088674999418712,0.8363080822618429,0.5056246871039981,0.26607103906552587,5.651872664925205,10.413269100396972,0.48602987136394854,0.2375092808545717,0.1833498482504517,Energy,7
ett1/H/medium,PatchFM,195.66618303571428,195.66618303571428,7.837171572730655,1.3496084441788812,3403964042217.065,0.4813917875337127,21.09747593655092,13.988072884987206,0.669995532581068,0.3753819403841121,0.3151258972444718,Energy,7
ett1/H/long,PatchFM,231.2175595238095,231.2175595238095,8.275149326223545,1.4776888014383547,5441035244317.852,0.5108644415964958,31.514014754098202,15.20583965204847,0.7281747273743872,0.3962789785037229,0.34874380000294997,Energy,7
loop_seattle/5T/short,PatchFM,48.46821366852405,48.46821366852405,3.674269564602028,0.5791029291254821,0.10615191042607783,0.07886057553222262,4.909535849098301,6.961911638948318,0.11938141438200327,0.06300561112970393,0.05023429868779469,Transport,1
loop_seattle/5T/medium,PatchFM,142.53037648046472,142.53037648046472,6.947593102233697,1.08953749443559,0.27475254432827817,0.15003996349711324,20.973275801764927,11.938608649271687,0.2124123798577711,0.12361195751390365,0.10788559843657883,Transport,1
loop_seattle/5T/long,PatchFM,150.65329890225462,150.65329890225462,7.1981918051166005,1.1229454623604438,0.2820769641142676,0.15417209419487876,24.915724286015084,12.274090552959702,0.21700844532812535,0.1272655115311446,0.11332212957388954,Transport,1
solar/10T/short,PatchFM,34.58073564144237,34.58073564144237,2.628118536362103,1.1674580813142603,5.6244159451628795,1.5993976819623998,6.174803621082824,5.880538720342072,1.7106480547548175,0.7645193877120477,0.5929747891343153,Energy,1
solar/10T/medium,PatchFM,30.761695000155523,30.761695000155523,2.485919378458254,1.0898854085266934,4.0124611310083615,1.5157557160010502,11.071809779609456,5.546322655612052,1.2307510335523046,0.5516353869657028,0.449740278915628,Energy,1
